ITEMID	KEY	TYPE	CATEGORY	SECTION	DOMAIN	GRADELEVEL	DETAILS
345	CCSS.MATH.CONTENT.7.EE.B.3	standard	Grade 7: Expressions and Equations	math-content-standards	Expressions and Equations	7	Solve multi-step real-life and mathematical problems posed with positive and negative rational numbers in any form (whole numbers, fractions, and decimals), using tools strategically. Apply properties of operations to calculate with numbers in any form; convert between forms as appropriate; and assess the reasonableness of answers using mental computation and estimation strategies. For example: If a woman making $25 an hour gets a 10% raise, she will make an additional 1/10 of her salary an hour, or $2.50, for a new salary of $27.50. If you want to place a towel bar 9 3/4 inches long in the center of a door that is 27 1/2 inches wide, you will need to place the bar about 9 inches from each edge; this estimate can be used as a check on the exact computation.
346	CCSS.MATH.CONTENT.7.EE.B.4	standard	Grade 7: Expressions and Equations	math-content-standards	Expressions and Equations	7	Use variables to represent quantities in a real-world or mathematical problem, and construct simple equations and inequalities to solve problems by reasoning about the quantities.
347	CCSS.MATH.CONTENT.7.EE.B.4.A	substandard	Grade 7: Expressions and Equations	math-content-standards	Expressions and Equations	7	Solve word problems leading to equations of the form px + q = r and p(x + q) = r, where p, q, and r are specific rational numbers. Solve equations of these forms fluently. Compare an algebraic solution to an arithmetic solution, identifying the sequence of the operations used in each approach.
348	CCSS.MATH.CONTENT.7.EE.B.4.B	substandard	Grade 7: Expressions and Equations	math-content-standards	Expressions and Equations	7	Solve word problems leading to inequalities of the form px + q > r or px + q < r, where p, q, and r are specific rational numbers. Graph the solution set of the inequality and interpret it in the context of the problem. For example: As a salesperson, you are paid $50 per week plus $3 per sale. This week you want your pay to be at least $100. Write an inequality for the number of sales you need to make, and describe the solutions.
349	CCSS.MATH.CONTENT.7.G.A	cluster	Grade 7: Geometry	math-content-standards	Geometry	7	Draw construct, and describe geometrical figures and describe the relationships between them.
350	CCSS.MATH.CONTENT.7.G.A.1	standard	Grade 7: Geometry	math-content-standards	Geometry	7	Solve problems involving scale drawings of geometric figures, including computing actual lengths and areas from a scale drawing and reproducing a scale drawing at a different scale.
351	CCSS.MATH.CONTENT.7.G.A.2	standard	Grade 7: Geometry	math-content-standards	Geometry	7	Draw (freehand, with ruler and protractor, and with technology) geometric shapes with given conditions. Focus on constructing triangles from three measures of angles or sides, noticing when the conditions determine a unique triangle, more than one triangle, or no triangle.
352	CCSS.MATH.CONTENT.7.G.A.3	standard	Grade 7: Geometry	math-content-standards	Geometry	7	Describe the two-dimensional figures that result from slicing three-dimensional figures, as in plane sections of right rectangular prisms and right rectangular pyramids.
353	CCSS.MATH.CONTENT.7.G.B	cluster	Grade 7: Geometry	math-content-standards	Geometry	7	Solve real-life and mathematical problems involving angle measure, area, surface area, and volume.
354	CCSS.MATH.CONTENT.7.G.B.4	standard	Grade 7: Geometry	math-content-standards	Geometry	7	Know the formulas for the area and circumference of a circle and use them to solve problems; give an informal derivation of the relationship between the circumference and area of a circle.
355	CCSS.MATH.CONTENT.7.G.B.5	standard	Grade 7: Geometry	math-content-standards	Geometry	7	Use facts about supplementary, complementary, vertical, and adjacent angles in a multi-step problem to write and solve simple equations for an unknown angle in a figure.
356	CCSS.MATH.CONTENT.7.G.B.6	standard	Grade 7: Geometry	math-content-standards	Geometry	7	Solve real-world and mathematical problems involving area, volume and surface area of two- and three-dimensional objects composed of triangles, quadrilaterals, polygons, cubes, and right prisms.
357	CCSS.MATH.CONTENT.7.SP.A	cluster	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Use random sampling to draw inferences about a population.
358	CCSS.MATH.CONTENT.7.SP.A.1	standard	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Understand that statistics can be used to gain information about a population by examining a sample of the population; generalizations about a population from a sample are valid only if the sample is representative of that population. Understand that random sampling tends to produce representative samples and support valid inferences.
359	CCSS.MATH.CONTENT.7.SP.A.2	standard	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Use data from a random sample to draw inferences about a population with an unknown characteristic of interest. Generate multiple samples (or simulated samples) of the same size to gauge the variation in estimates or predictions.
360	CCSS.MATH.CONTENT.7.SP.B	cluster	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Draw informal comparative inferences about two populations.
361	CCSS.MATH.CONTENT.7.SP.B.3	standard	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Informally assess the degree of visual overlap of two numerical data distributions with similar variabilities, measuring the difference between the centers by expressing it as a multiple of a measure of variability.
362	CCSS.MATH.CONTENT.7.SP.B.4	standard	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Use measures of center and measures of variability for numerical data from random samples to draw informal comparative inferences about two populations.
363	CCSS.MATH.CONTENT.7.SP.C	cluster	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Investigate chance processes and develop, use, and evaluate probability models.
364	CCSS.MATH.CONTENT.7.SP.C.5	standard	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Understand that the probability of a chance event is a number between 0 and 1 that expresses the likelihood of the event occurring. Larger numbers indicate greater likelihood. A probability near 0 indicates an unlikely event, a probability around 1/2 indicates an event that is neither unlikely nor likely, and a probability near 1 indicates a likely event.
365	CCSS.MATH.CONTENT.7.SP.C.6	standard	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Approximate the probability of a chance event by collecting data on the chance process that produces it and observing its long-run relative frequency, and predict the approximate relative frequency given the probability.
366	CCSS.MATH.CONTENT.7.SP.C.7	standard	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Develop a probability model and use it to find probabilities of events. Compare probabilities from a model to observed frequencies; if the agreement is not good, explain possible sources of the discrepancy.
367	CCSS.MATH.CONTENT.7.SP.C.7.A	substandard	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Develop a uniform probability model by assigning equal probability to all outcomes, and use the model to determine probabilities of events.
368	CCSS.MATH.CONTENT.7.SP.C.7.B	substandard	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Develop a probability model (which may not be uniform) by observing frequencies in data generated from a chance process.
369	CCSS.MATH.CONTENT.7.SP.C.8	standard	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Find probabilities of compound events using organized lists, tables, tree diagrams, and simulation.
370	CCSS.MATH.CONTENT.7.SP.C.8.A	substandard	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Understand that, just as with simple events, the probability of a compound event is the fraction of outcomes in the sample space for which the compound event occurs.
371	CCSS.MATH.CONTENT.7.SP.C.8.B	substandard	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Represent sample spaces for compound events using methods such as organized lists, tables and tree diagrams. For an event described in everyday language (e.g., `rolling double sixes`), identify the outcomes in the sample space which compose the event.
372	CCSS.MATH.CONTENT.7.SP.C.8.C	substandard	Grade 7: Statistics and Probability	math-content-standards	Statistics and Probability	7	Design and use a simulation to generate frequencies for compound events.
373	CCSS.MATH.CONTENT.8.NS.A	cluster	Grade 8: The Number System	math-content-standards	The Number System	8	Know that there are numbers that are not rational, and approximate them by rational numbers.
374	CCSS.MATH.CONTENT.8.NS.A.1	standard	Grade 8: The Number System	math-content-standards	The Number System	8	Know that numbers that are not rational are called irrational. Understand informally that every number has a decimal expansion; for rational numbers show that the decimal expansion repeats eventually, and convert a decimal expansion which repeats eventually into a rational number.
375	CCSS.MATH.CONTENT.8.NS.A.2	standard	Grade 8: The Number System	math-content-standards	The Number System	8	Use rational approximations of irrational numbers to compare the size of irrational numbers, locate them approximately on a number line diagram, and estimate the value of expressions (e.g., π2).
376	CCSS.MATH.CONTENT.8.EE.A	cluster	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Expressions and Equations Work with radicals and integer exponents.
377	CCSS.MATH.CONTENT.8.EE.A.1	standard	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Know and apply the properties of integer exponents to generate equivalent numerical expressions.
378	CCSS.MATH.CONTENT.8.EE.A.2	standard	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Use square root and cube root symbols to represent solutions to equations of the form x² = p and x³ = p, where p is a positive rational number. Evaluate square roots of small perfect squares and cube roots of small perfect cubes. Know that √2 is irrational.
379	CCSS.MATH.CONTENT.8.EE.A.3	standard	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Use numbers expressed in the form of a single digit times an integer power of 10 to estimate very large or very small quantities, and to express how many times as much one is than the other.
380	CCSS.MATH.CONTENT.8.EE.A.4	standard	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Perform operations with numbers expressed in scientific notation, including problems where both decimal and scientific notation are used. Use scientific notation and choose units of appropriate size for measurements of very large or very small quantities (e.g., use millimeters per year for seafloor spreading). Interpret scientific notation that has been generated by technology
381	CCSS.MATH.CONTENT.8.EE.B	cluster	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Understand the connections between proportional relationships, lines, and linear equations.
382	CCSS.MATH.CONTENT.8.EE.B.5	standard	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Graph proportional relationships, interpreting the unit rate as the slope of the graph. Compare two different proportional relationships represented in different ways.
383	CCSS.MATH.CONTENT.8.EE.B.6	standard	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Use similar triangles to explain why the slope m is the same between any two distinct points on a non-vertical line in the coordinate plane; derive the equation y = mx for a line through the origin and the equation y = mx + b for a line intercepting the vertical axis at b.
384	CCSS.MATH.CONTENT.8.EE.C	cluster	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Analyze and solve linear equations and pairs of simultaneous linear equations.
385	CCSS.MATH.CONTENT.8.EE.C.7	standard	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Solve linear equations in one variable.
386	CCSS.MATH.CONTENT.8.EE.C.7.A	substandard	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Give examples of linear equations in one variable with one solution, infinitely many solutions, or no solutions. Show which of these possibilities is the case by successively transforming the given equation into simpler forms, until an equivalent equation of the form x = a, a = a, or a = b results (where a and b are different numbers).
387	CCSS.MATH.CONTENT.8.EE.C.7.B	substandard	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Solve linear equations with rational number coefficients, including equations whose solutions require expanding expressions using the distributive property and collecting like terms.
388	CCSS.MATH.CONTENT.8.EE.C.8	standard	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Analyze and solve pairs of simultaneous linear equations.
389	CCSS.MATH.CONTENT.8.EE.C.8.A	substandard	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Understand that solutions to a system of two linear equations in two variables correspond to points of intersection of their graphs, because points of intersection satisfy both equations simultaneously.
390	CCSS.MATH.CONTENT.8.EE.C.8.B	substandard	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Solve systems of two linear equations in two variables algebraically, and estimate solutions by graphing the equations. Solve simple cases by inspection.
391	CCSS.MATH.CONTENT.8.EE.C.8.C	substandard	Grade 8: Expressions and Equations	math-content-standards	Expressions and Equations	8	Solve real-world and mathematical problems leading to two linear equations in two variables.
392	CCSS.MATH.CONTENT.8.F.A	cluster	Grade 8: Functions	math-content-standards	Functions	8	Define, evaluate, and compare functions.
393	CCSS.MATH.CONTENT.8.F.A.1	standard	Grade 8: Functions	math-content-standards	Functions	8	Understand that a function is a rule that assigns to each input exactly one output. The graph of a function is the set of ordered pairs consisting of an input and the corresponding output.
394	CCSS.MATH.CONTENT.8.F.A.2	standard	Grade 8: Functions	math-content-standards	Functions	8	Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions).
395	CCSS.MATH.CONTENT.8.F.A.3	standard	Grade 8: Functions	math-content-standards	Functions	8	Interpret the equation y = mx + b as defining a linear function, whose graph is a straight line; give examples of functions that are not linear.
396	CCSS.MATH.CONTENT.8.F.B	cluster	Grade 8: Functions	math-content-standards	Functions	8	Use functions to model relationships between quantities.
397	CCSS.MATH.CONTENT.8.F.B.4	standard	Grade 8: Functions	math-content-standards	Functions	8	Construct a function to model a linear relationship between two quantities. Determine the rate of change  and initial value of the function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph. Interpret the rate of change and initial value of a linear function in terms of the situation it models, and in terms of its graph or a table of values.
398	CCSS.MATH.CONTENT.8.F.B.5	standard	Grade 8: Functions	math-content-standards	Functions	8	Describe qualitatively the functional relationship between two quantities by analyzing a graph (e.g., where the function is increasing or decreasing, linear or nonlinear). Sketch a graph that exhibits the qualitative features of a function that has been described verbally.
399	CCSS.MATH.CONTENT.8.G.A	cluster	Grade 8: Geometry	math-content-standards	Geometry	8	Understand congruence and similarity using physical models, transparencies, or geometry software.
400	CCSS.MATH.CONTENT.8.G.A.1	standard	Grade 8: Geometry	math-content-standards	Geometry	8	Verify experimentally the properties of rotations, reflections, and translations:
401	CCSS.MATH.CONTENT.8.G.A.1.A	substandard	Grade 8: Geometry	math-content-standards	Geometry	8	Lines are taken to lines, and line segments to line segments of the same length.
402	CCSS.MATH.CONTENT.8.G.A.1.B	substandard	Grade 8: Geometry	math-content-standards	Geometry	8	Angles are taken to angles of the same measure.
403	CCSS.MATH.CONTENT.8.G.A.1.C	substandard	Grade 8: Geometry	math-content-standards	Geometry	8	Parallel lines are taken to parallel lines.
404	CCSS.MATH.CONTENT.8.G.A.2	standard	Grade 8: Geometry	math-content-standards	Geometry	8	Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.
405	CCSS.MATH.CONTENT.8.G.A.3	standard	Grade 8: Geometry	math-content-standards	Geometry	8	Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.
406	CCSS.MATH.CONTENT.8.G.A.4	standard	Grade 8: Geometry	math-content-standards	Geometry	8	Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them.
407	CCSS.MATH.CONTENT.8.G.A.5	standard	Grade 8: Geometry	math-content-standards	Geometry	8	Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.
408	CCSS.MATH.CONTENT.8.G.B	cluster	Grade 8: Geometry	math-content-standards	Geometry	8	Understand and apply the Pythagorean Theorem.
409	CCSS.MATH.CONTENT.8.G.B.6	standard	Grade 8: Geometry	math-content-standards	Geometry	8	Explain a proof of the Pythagorean Theorem and its converse.
410	CCSS.MATH.CONTENT.8.G.B.7	standard	Grade 8: Geometry	math-content-standards	Geometry	8	Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.
411	CCSS.MATH.CONTENT.8.G.B.8	standard	Grade 8: Geometry	math-content-standards	Geometry	8	Apply the Pythagorean Theorem to find the distance between two points in a coordinate system.
412	CCSS.MATH.CONTENT.8.G.C	cluster	Grade 8: Geometry	math-content-standards	Geometry	8	Solve real-world and mathematical problems involving volume of cylinders, cones, and spheres.
413	CCSS.MATH.CONTENT.8.G.C.9	standard	Grade 8: Geometry	math-content-standards	Geometry	8	Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.
414	CCSS.MATH.CONTENT.8.SP.A	cluster	Grade 8: Statistics and Probability	math-content-standards	Statistics and Probability	8	Investigate patterns of association in bivariate data.
415	CCSS.MATH.CONTENT.8.SP.A.1	standard	Grade 8: Statistics and Probability	math-content-standards	Statistics and Probability	8	Construct and interpret scatter plots for bivariate measurement data to investigate patterns of association between two quantities. Describe patterns such as clustering, outliers, positive or negative association, linear association, and nonlinear association.
416	CCSS.MATH.CONTENT.8.SP.A.2	standard	Grade 8: Statistics and Probability	math-content-standards	Statistics and Probability	8	Know that straight lines are widely used to model relationships between two quantitative variables. For scatter plots that suggest a linear association, informally fit a straight line, and informally assess the model fit by judging the closeness of the data points to the line.
417	CCSS.MATH.CONTENT.8.SP.A.3	standard	Grade 8: Statistics and Probability	math-content-standards	Statistics and Probability	8	Use the equation of a linear model to solve problems in the context of bivariate measurement data, interpreting the slope and intercept.
418	CCSS.MATH.CONTENT.8.SP.A.4	standard	Grade 8: Statistics and Probability	math-content-standards	Statistics and Probability	8	Understand that patterns of association can also be seen in bivariate categorical data by displaying frequencies and relative frequencies in a two-way table. Construct and interpret a two-way table summarizing data on two categorical variables collected from the same subjects. Use relative frequencies calculated for rows or columns to describe possible association between the two variables.
419	CCSS.MATH.CONTENT.HSN.RN.A	cluster	High School: Number and Quantity: The Real Number System	math-content-standards	The Real Number System	9-12	Extend the properties of exponents to rational exponents.
420	CCSS.MATH.CONTENT.HSN.RN.A.1	standard	High School: Number and Quantity: The Real Number System	math-content-standards	The Real Number System	9-12	Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents.
421	CCSS.MATH.CONTENT.HSN.RN.A.2	standard	High School: Number and Quantity: The Real Number System	math-content-standards	The Real Number System	9-12	Rewrite expressions involving radicals and rational exponents using the properties of exponents.
422	CCSS.MATH.CONTENT.HSN.RN.B	cluster	High School: Number and Quantity: The Real Number System	math-content-standards	The Real Number System	9-12	Use properties of rational and irrational numbers.
423	CCSS.MATH.CONTENT.HSN.RN.B.3	standard	High School: Number and Quantity: The Real Number System	math-content-standards	The Real Number System	9-12	Explain why the sum or product of two rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.
424	CCSS.MATH.CONTENT.HSN.Q.A	cluster	High School: Number and Quantity: Quantities	math-content-standards	Quantities	9-12	Reason quantitatively and use units to solve problems.
425	CCSS.MATH.CONTENT.HSN.Q.A.1	standard	High School: Number and Quantity: Quantities	math-content-standards	Quantities	9-12	Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.
426	CCSS.MATH.CONTENT.HSN.Q.A.2	standard	High School: Number and Quantity: Quantities	math-content-standards	Quantities	9-12	Define appropriate quantities for the purpose of descriptive modeling.
427	CCSS.MATH.CONTENT.HSN.Q.A.3	standard	High School: Number and Quantity: Quantities	math-content-standards	Quantities	9-12	Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.
428	CCSS.MATH.CONTENT.HSN.CN.A	cluster	High School: Number and Quantity: The Complex Number System	math-content-standards	The Complex Number System	9-12	Perform arithmetic operations with complex numbers.
429	CCSS.MATH.CONTENT.HSN.CN.A.1	standard	High School: Number and Quantity: The Complex Number System	math-content-standards	The Complex Number System	9-12	Know there is a complex number i such that i² = -1, and every complex number has the form a + bi with a and b real.
430	CCSS.MATH.CONTENT.HSN.CN.A.2	standard	High School: Number and Quantity: The Complex Number System	math-content-standards	The Complex Number System	9-12	Use the relation i² = -1 and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers.
431	CCSS.MATH.CONTENT.HSN.CN.A.3	standard	High School: Number and Quantity: The Complex Number System	math-content-standards	The Complex Number System	9-12	(+) Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers.
432	CCSS.MATH.CONTENT.HSN.CN.B	cluster	High School: Number and Quantity: The Complex Number System	math-content-standards	The Complex Number System	9-12	Represent complex numbers and their operations on the complex plane.
433	CCSS.MATH.CONTENT.HSN.CN.B.4	standard	High School: Number and Quantity: The Complex Number System	math-content-standards	The Complex Number System	9-12	(+) Represent complex numbers on the complex plane in rectangular and polar form (including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number.
434	CCSS.MATH.CONTENT.HSN.CN.B.5	standard	High School: Number and Quantity: The Complex Number System	math-content-standards	The Complex Number System	9-12	(+) Represent addition, subtraction, multiplication, and conjugation of complex numbers geometrically on the complex plane; use properties of this representation for computation.
435	CCSS.MATH.CONTENT.HSN.CN.B.6	standard	High School: Number and Quantity: The Complex Number System	math-content-standards	The Complex Number System	9-12	(+) Calculate the distance between numbers in the complex plane as the modulus of the difference, and the midpoint of a segment as the average of the numbers at its endpoints.
436	CCSS.MATH.CONTENT.HSN.CN.C	cluster	High School: Number and Quantity: The Complex Number System	math-content-standards	The Complex Number System	9-12	Use complex numbers in polynomial identities and equations.
437	CCSS.MATH.CONTENT.HSN.CN.C.7	standard	High School: Number and Quantity: The Complex Number System	math-content-standards	The Complex Number System	9-12	Solve quadratic equations with real coefficients that have complex solutions.
438	CCSS.MATH.CONTENT.HSN.CN.C.8	standard	High School: Number and Quantity: The Complex Number System	math-content-standards	The Complex Number System	9-12	(+) Extend polynomial identities to the complex numbers.
439	CCSS.MATH.CONTENT.HSN.CN.C.9	standard	High School: Number and Quantity: The Complex Number System	math-content-standards	The Complex Number System	9-12	(+) Know the Fundamental Theorem of Algebra; show that it is true for quadratic polynomials.
440	CCSS.MATH.CONTENT.HSN.VM.A	cluster	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	Represent and model with vector quantities.
441	CCSS.MATH.CONTENT.HSN.VM.A.1	standard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	(+) Recognize vector quantities as having both magnitude and direction. Represent vector quantities by directed line segments, and use appropriate symbols for vectors and their magnitudes (e.g., v, |v|, ||v||, v).
442	CCSS.MATH.CONTENT.HSN.VM.A.2	standard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	(+) Find the components of a vector by subtracting the coordinates of an initial point from the coordinates of a terminal point.
443	CCSS.MATH.CONTENT.HSN.VM.A.3	standard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	(+) Solve problems involving velocity and other quantities that can be represented by vectors.
444	CCSS.MATH.CONTENT.HSN.VM.B	cluster	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	Perform operations on vectors.
445	CCSS.MATH.CONTENT.HSN.VM.B.4	standard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	(+) Add and subtract vectors.
446	CCSS.MATH.CONTENT.HSN.VM.B.4.A	substandard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	Add vectors end-to-end, component-wise, and by the parallelogram rule. Understand that the magnitude of a sum of two vectors is typically not the sum of the magnitudes.
447	CCSS.MATH.CONTENT.HSN.VM.B.4.B	substandard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	Given two vectors in magnitude and direction form, determine the magnitude and direction of their sum.
448	CCSS.MATH.CONTENT.HSN.VM.B.4.C	substandard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	Understand vector subtraction v - w as v + (-w), where -w is the additive inverse of w, with the same magnitude as w and pointing in the opposite direction. Represent vector subtraction graphically by connecting the tips in the appropriate order, and perform vector subtraction component-wise.
449	CCSS.MATH.CONTENT.HSN.VM.B.5	standard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	(+) Multiply a vector by a scalar.
450	CCSS.MATH.CONTENT.HSN.VM.B.5.A	substandard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	Represent scalar multiplication graphically by scaling vectors and possibly reversing their direction; perform scalar multiplication component-wise, e.g., as c(vᵢ, vⱼ) = (cvᵢ, cvⱼ).
451	CCSS.MATH.CONTENT.HSN.VM.B.5.B	substandard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	Compute the magnitude of a scalar multiple cv using ||cv|| = |c|v. Compute the direction of cv knowing that when |c|v ≠ 0, the direction of cv is either along v (for c > 0) or against v (for c < 0).
452	CCSS.MATH.CONTENT.HSN.VM.C	cluster	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	Perform operations on matrices and use matrices in applications.
453	CCSS.MATH.CONTENT.HSN.VM.C.10	standard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	(+) Understand that the zero and identity matrices play a role in matrix addition and multiplication similar to the role of 0 and 1 in the real numbers. The determinant of a square matrix is nonzero if and only if the matrix has a multiplicative inverse.
454	CCSS.MATH.CONTENT.HSN.VM.C.11	standard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	(+) Multiply a vector (regarded as a matrix with one column) by a matrix of suitable dimensions to produce another vector. Work with matrices as transformations of vectors.
455	CCSS.MATH.CONTENT.HSN.VM.C.12	standard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	(+) Work with 2 × 2 matrices as a transformations of the plane, and interpret the absolute value of the determinant in terms of area.
456	CCSS.MATH.CONTENT.HSN.VM.C.6	standard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	(+) Use matrices to represent and manipulate data, e.g., to represent payoffs or incidence relationships in a network.
457	CCSS.MATH.CONTENT.HSN.VM.C.7	standard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	(+) Multiply matrices by scalars to produce new matrices, e.g., as when all of the payoffs in a game are doubled.
458	CCSS.MATH.CONTENT.HSN.VM.C.8	standard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	(+) Add, subtract, and multiply matrices of appropriate dimensions.
459	CCSS.MATH.CONTENT.HSN.VM.C.9	standard	High School: Number and Quantity: Vector and Matrix Quantities	math-content-standards	Vector and Matrix Quantities	9-12	(+) Understand that, unlike multiplication of numbers, matrix multiplication for square matrices is not a commutative operation, but still satisfies the associative and distributive properties.
460	CCSS.MATH.CONTENT.HSA.SSE.A	cluster	High School: Algebra: Seeing Structure in Expressions	math-content-standards	Seeing Structure in Expressions	9-12	Interpret the structure of expressions.
461	CCSS.MATH.CONTENT.HSA.SSE.A.1	standard	High School: Algebra: Seeing Structure in Expressions	math-content-standards	Seeing Structure in Expressions	9-12	Interpret expressions that represent a quantity in terms of its context.
462	CCSS.MATH.CONTENT.HSA.SSE.A.1.A	substandard	High School: Algebra: Seeing Structure in Expressions	math-content-standards	Seeing Structure in Expressions	9-12	Interpret parts of an expression, such as terms, factors, and coefficients.
463	CCSS.MATH.CONTENT.HSA.SSE.A.1.B	substandard	High School: Algebra: Seeing Structure in Expressions	math-content-standards	Seeing Structure in Expressions	9-12	Interpret complicated expressions by viewing one or more of their parts as a single entity.
464	CCSS.MATH.CONTENT.HSA.SSE.A.2	standard	High School: Algebra: Seeing Structure in Expressions	math-content-standards	Seeing Structure in Expressions	9-12	Use the structure of an expression to identify ways to rewrite it.
465	CCSS.MATH.CONTENT.HSA.SSE.B	cluster	High School: Algebra: Seeing Structure in Expressions	math-content-standards	Seeing Structure in Expressions	9-12	Write expressions in equivalent forms to solve problems.
466	CCSS.MATH.CONTENT.HSA.SSE.B.3	standard	High School: Algebra: Seeing Structure in Expressions	math-content-standards	Seeing Structure in Expressions	9-12	Choose and produce an equivalent form of an expression to reveal and explain properties of the quantity represented by the expression.
467	CCSS.MATH.CONTENT.HSA.SSE.B.3.A	substandard	High School: Algebra: Seeing Structure in Expressions	math-content-standards	Seeing Structure in Expressions	9-12	Factor a quadratic expression to reveal the zeros of the function it defines.
468	CCSS.MATH.CONTENT.HSA.SSE.B.3.B	substandard	High School: Algebra: Seeing Structure in Expressions	math-content-standards	Seeing Structure in Expressions	9-12	Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.
